ID Predial,Predio,Plano,Comp,Relacion,Inc01,Inc02,Inc03,Inc04,Inc05,Inc06,Inc07,Inc08,Inc09,Inc10,Inc11,Mod1,Mod2,Mod3,Mod4,Mod5,Mod6,Mod7,Mod9,X,Y,Shape_Length,Shape_Area
30302017171600,00063,305412901999,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499554.0852,1094954.905,55.59158954,158.2874283
30304019530200,00016,308777152003,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503141.2176,1094723.392,54.25996558,126.1720371
30302017813400,00015,306152682000,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499659.1305,1094969.591,60.23522886,185.0610481
30301011158300,00022,306588541986,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501551.3432,1095420.588,69.43867673,196.890637
30301007658300,00012, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,501420.492,1095181.664,81.52709347,321.8453391
30303016152400,00027,303615321996,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498370.0825,1095198.862,45.81414762,119.2725365
30304018998400,00009,308231082002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502565.6957,1095348.543,60.02276727,200.1517988
30302015179600,00004,302411661995,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500147.0014,1093866.066,51.50147302,117.4235701
30301018744500,00010,303942561997,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,501767.6236,1095796.47,45.20871048,123.400983
30305016820300,00002,304663971998,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501036.0445,1096949.441,52.24997317,136.0209239
30308013145300,00008,309695401991,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,497154.4474,1093014.195,91.0702036,373.1661535
30304006699600,00007,308365402003,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502488.928,1096206.116,82.04203247,340.4361621
30304006700200,00010,304971841983,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502509.3561,1096241.166,94.54490469,526.4532554
30302018554500,00015,307491222001,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,499877.3964,1095059.693,59.26833809,193.6475289
30306014707900,00014,301386841993,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502618.731,1097718.732,52.42488008,159.2035835
30303011607100,00009,307388261988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498418.336,1095215.14,43.49982115,94.49902684
30304019531500,00002,308789792003,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503136.8358,1094840.896,58.22183545,143.6558435
30308020753800,00007,311249422006,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495859.5239,1094080.001,54.00147724,139.9778311
30304012512300,00004,308787541990,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502987.3307,1094839.401,55.36733879,161.0550826
30302014015400,00015,309181161990,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499469.5179,1094584.851,51.46291382,144.5052897
30302010095200,00025,304329101981,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499256.8332,1094962.054,61.27746129,225.4917803
30302018552900,00028,307504262001,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499789.7674,1094923.356,58.37692202,191.3634766
30302013845600,00013,309001591990,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500160.7563,1094496.893,42.00029412,89.92351704
30302006585800,00010,306415382000,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499747.0262,1094170.321,33.95222205,53.75684047
30302017171700,00062,305412911999,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499561.8375,1094953.023,56.08414701,160.5651424
30302010123300,00022,300059261976,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500080.5798,1094295.536,74.19833694,227.7296196
30303011815000,00018,307784691988,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,498680.2945,1094894.756,48.50021417,109.5011758
30305013459100,00030,300450601992,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501285.6163,1097671.604,44.2938856,121.5282972
30307018977700,00024,308106002002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501220.5737,1099132.076,124.1010028,804.7361307
30307019140600,00041,302472491995,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500687.0432,1099136.684,78.8041134,347.8655447
30304016845700,00017,305023161998,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,502143.4075,1095485.72,186.2072053,754.1909937
30308015615200,00026,301776711994,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497140.8787,1093546.952,265.3310869,1738.020892
30303011694900,00033,307566781988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498327.9318,1095045.831,41.99987114,89.99965036
30303020857800,00012,311504652007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499612.6042,1097330.277,55.91721818,159.6178388
30302010975900,00015,306029681985,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,500387.512,1094030.708,60.9382583,184.8748218
30304H00005300,, , , , , , , , , , , , , , , , , , , , , , ,502473.8662,1096475.143,177.2450909,665.1016612
30302015406200,00023,309907671991,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500076.2286,1094287.839,45.47606923,105.667273
30307020027500,00022,308108412002,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501183.4061,1099128.299,125.0910521,817.7471077
30303020857200,00006,311548662007,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499570.8971,1097354.027,55.93104749,159.7270382
30304017794000,00011,306091992000,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502221.0409,1095061.435,68.70601813,242.6712901
30303016727000,00005,304895491998,C,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,498202.6187,1095182.555,60.23128776,174.5700081
30303011616400,00020,307476881988,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498513.3508,1095105.455,48.04105139,108.1218505
30301007661300,00010,300065731975,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501543.2395,1095160.291,76.80844128,349.5209229
30306006157800,00001,306405891986,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502735.0336,1097583.918,103.8443414,586.0439356
30301025983700,00027,302991081996,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501643.3469,1095785.546,80.07976922,309.5855193
